State,perHoush,pct12-29,pct65up,pctUrban,pctPoverty,pctUnemploy,pctAllDivorc,pctHousOccup,persEmergShelt,persHomeless,nonViolPerPop,medIncome,pop,countyCode
OH,2.21,28.23,11.81,100.0,8.5,4.87,13.07,94.66,0,1,2364.17,28791.0,59718.0,35
OH,2.48,25.87,14.72,0.0,25.86,13.05,15.49,91.92,7,0,5001.84,17658.0,26778.0,119
MN,2.68,31.33,3.49,100.0,4.2,3.06,9.83,94.48,15,0,4838.22,43620.0,51288.0,37
PA,2.51,19.25,19.77,90.76,5.71,3.05,7.66,97.64,3,0,3906.01,,12636.0,11
NJ,2.6,20.17,17.23,100.0,2.38,2.93,5.81,98.03,0,0,1579.19,52126.0,10603.0,3
SD,2.55,24.07,10.16,0.0,10.19,2.4,9.64,93.93,0,0,5553.94,27373.0,12906.0,65
NJ,2.84,24.25,8.54,100.0,2.46,3.75,6.65,93.81,11,0,2796.82,65590.0,13228.0,3
OH,2.32,23.89,15.44,100.0,4.17,3.09,10.69,96.32,0,0,4198.4,34506.0,60569.0,113
WI,2.65,28.64,7.28,77.35,3.39,2.95,8.02,97.26,12,0,5596.66,39683.0,14490.0,87
NJ,2.78,24.29,14.03,100.0,3.26,4.09,5.91,97.61,0,1,1690.74,48776.0,17187.0,3
MI,2.6,26.45,7.12,100.0,3.26,3.9,10.26,93.67,0,0,4658.46,47518.0,32998.0,125
OH,2.73,27.31,10.43,0.0,15.49,7.43,13.0,97.03,13,0,5466.81,25508.0,,57
ME,2.49,27.45,14.12,100.0,7.15,4.22,10.78,95.62,6,0,5576.19,31877.0,23163.0,5
MA,2.57,24.15,14.49,100.0,4.23,4.8,7.27,96.85,0,0,1633.06,44109.0,28150.0,17
CT,2.79,21.27,14.64,79.25,2.83,4.18,6.47,97.1,64,0,2475.6,49004.0,,3
ND,2.6,27.13,12.19,0.0,14.75,4.88,7.8,90.45,2,0,2391.49,21615.0,16097.0,89
MI,2.41,26.32,14.88,100.0,13.67,5.19,15.04,94.61,0,0,6876.35,23700.0,12456.0,21
WI,2.33,28.35,8.67,100.0,5.79,2.06,11.35,96.56,0,0,3295.57,,13289.0,25
CT,2.37,23.65,13.71,97.11,3.52,4.11,10.85,89.33,98,35,1703.16,43578.0,27603.0,
NJ,2.38,21.7,20.22,100.0,3.75,2.28,9.14,97.7,0,0,4482.54,36215.0,14837.0,7
PA,2.43,27.42,11.54,100.0,27.02,10.31,17.1,87.52,191,5,7093.95,20329.0,52376.0,43
NY,2.4,29.24,13.29,100.0,25.62,11.58,12.96,89.78,284,5,8407.3,18482.0,328123.0,29
NJ,2.49,26.76,15.26,100.0,6.12,7.04,10.17,94.68,0,0,3913.02,33311.0,22355.0,3
MI,2.75,28.74,10.94,100.0,32.41,19.67,17.88,91.23,1141,170,9544.8,18742.0,1027974.0,163
MN,2.77,30.97,3.17,100.0,7.52,4.7,10.8,95.87,0,0,4379.92,40018.0,56381.0,53
MA,2.8,26.83,9.69,67.12,4.51,6.67,9.33,96.5,0,0,1921.46,36682.0,12588.0,27
NJ,2.6,25.36,12.44,95.71,6.1,3.62,9.67,96.38,0,0,2075.36,38025.0,13794.0,33
MI,2.4,26.86,13.3,100.0,12.12,8.0,15.25,95.27,0,0,6622.58,26179.0,,163
MN,2.72,26.62,3.0,100.0,3.12,3.06,8.58,93.78,0,0,3481.98,52956.0,39311.0,
CT,2.63,22.08,14.2,86.54,3.02,3.8,7.73,94.37,75,3,2326.01,,58441.0,1
PA,2.51,25.78,19.66,100.0,15.22,6.55,9.61,92.31,38,1,3274.74,21060.0,81805.0,69
PA,2.77,23.77,10.41,95.75,4.07,4.72,7.18,97.05,0,0,421.09,34978.0,10742.0,7
NJ,2.58,28.12,11.17,100.0,17.8,9.74,14.8,94.01,38,6,9360.21,27301.0,29925.0,13
SD,2.55,25.71,14.19,0.0,12.07,2.18,8.8,95.36,0,0,3518.46,21344.0,,135
NJ,2.71,24.68,10.16,100.0,3.2,4.61,8.6,92.51,15,0,4519.97,46885.0,25058.0,25
MA,4.14,39.12,2.43,0.0,3.88,1.66,5.49,94.78,0,0,116.79,47299.0,12329.0,27
NJ,2.6,24.26,12.82,100.0,6.03,5.41,10.52,96.34,20,3,6256.36,52442.0,37729.0,13
MI,2.99,34.35,10.32,100.0,12.82,5.32,8.06,94.74,50,0,5306.57,30469.0,25086.0,139
OH,2.45,18.07,16.65,100.0,1.38,1.87,7.3,97.08,0,0,2579.88,53140.0,34128.0,
MI,2.95,28.72,6.87,0.78,7.64,9.78,12.2,95.87,0,0,3038.43,34929.0,10891.0,163
MA,2.95,27.92,7.2,52.5,3.42,6.41,8.13,97.62,0,0,1461.85,,14877.0,21
NJ,2.67,30.09,5.23,85.27,2.77,3.64,9.67,93.47,0,0,1560.37,45828.0,21282.0,27
PA,2.28,24.3,18.96,0.0,8.35,3.35,11.06,95.38,0,0,4398.1,24947.0,14399.0,133
OH,2.63,21.92,13.15,100.0,2.07,3.03,7.5,93.17,0,0,1331.02,47629.0,27018.0,35
WI,2.56,18.93,19.62,100.0,4.14,2.57,8.24,95.31,0,0,7505.63,40602.0,14088.0,79
OH,2.56,25.53,14.37,100.0,14.44,8.98,12.23,94.51,15,0,4088.32,23819.0,31007.0,151
NJ,3.14,25.19,7.46,88.2,2.29,3.25,6.07,95.56,0,0,1960.97,57484.0,20429.0,27
WI,2.51,26.51,12.93,100.0,6.26,4.98,10.65,97.36,0,0,3590.24,30031.0,18659.0,79
MN,3.11,29.54,2.46,100.0,2.34,3.64,7.5,98.03,0,0,2607.86,43218.0,16849.0,53
MI,2.54,26.38,12.56,100.0,4.62,6.09,10.35,96.99,0,0,5090.9,,30771.0,163
CT,2.9,20.42,15.19,100.0,2.32,3.18,4.6,97.29,0,0,6497.31,62021.0,12830.0,9
NJ,2.76,21.53,14.4,88.97,2.91,3.03,7.51,96.43,0,0,2837.05,54834.0,16116.0,5
NJ,2.75,29.55,8.45,100.0,12.38,9.91,13.37,91.24,6,27,9811.74,30529.0,61018.0,13
NJ,2.22,37.46,10.22,100.0,16.39,6.16,10.12,86.31,77,0,7242.96,,33397.0,17
VA,2.52,23.87,14.2,100.0,5.71,3.93,10.73,96.53,19,0,5116.78,,16064.0,570
VA,2.34,28.88,9.37,91.0,6.51,3.2,12.09,94.23,0,0,6028.22,37025.0,13057.0,3
MA,2.49,27.95,13.58,0.0,7.48,5.35,11.27,94.41,0,0,1989.26,34091.0,13222.0,
NJ,2.74,26.87,11.6,100.0,3.1,4.04,7.41,95.52,0,0,2828.41,46057.0,34986.0,23
MA,2.78,22.26,13.26,100.0,2.63,3.64,5.88,96.32,0,0,1380.23,65994.0,20267.0,17
WI,2.42,24.25,16.34,0.0,11.26,7.06,10.47,96.37,0,0,5531.82,,,141
NJ,2.69,26.54,14.1,100.0,4.34,5.28,9.68,97.7,0,0,1531.36,34887.0,12603.0,7
MA,2.85,27.0,11.96,93.51,4.78,5.81,8.04,96.31,0,0,2472.72,42044.0,26777.0,21
NJ,3.42,23.75,7.35,68.35,1.77,2.67,3.92,97.07,0,0,2138.59,83975.0,11532.0,25
NJ,2.56,26.47,11.49,100.0,3.66,3.76,9.68,94.31,9,0,5737.58,41875.0,18820.0,35
PA,2.5,23.07,14.22,100.0,5.47,5.26,11.7,95.52,0,0,4424.63,,11980.0,45
CT,2.41,22.96,14.97,18.71,4.49,5.0,9.64,88.56,4,0,2707.68,39651.0,16919.0,11
MI,2.17,19.1,20.96,100.0,3.64,4.82,10.05,95.41,0,0,4002.71,,10132.0,125
NJ,3.09,27.49,7.47,68.24,7.35,5.37,9.94,92.79,114,0,2730.2,39916.0,30087.0,7
CT,2.56,26.89,13.05,100.0,7.31,5.13,11.51,93.61,29,6,4526.77,36211.0,59479.0,9
CT,2.78,22.7,9.06,0.0,1.5,2.63,6.52,96.76,0,0,1324.5,64538.0,22023.0,3
ME,2.6,29.68,13.53,0.0,11.47,6.33,10.2,87.9,0,0,5594.17,28496.0,20710.0,31
WI,2.62,24.14,14.1,0.0,3.58,2.46,8.84,96.41,0,0,2822,34061.0,10993.0,133
PA,2.58,28.31,14.58,100.0,19.3,8.85,12.17,92.75,223,0,4328.73,22032.0,108718.0,49
ME,2.51,29.35,14.32,100.0,13.95,7.5,12.19,92.43,59,0,6406.52,24051.0,39757.0,1
MI,2.74,30.18,11.21,100.0,16.12,7.35,12.35,93.64,525,13,6864.2,26809.0,189126.0,81
MI,2.62,22.47,14.02,100.0,7.23,5.11,9.03,95.92,0,0,3168.95,33646.0,21755.0,121
NY,3.07,63.26,6.66,100.0,39.35,4.9,6.35,95.45,10,0,7276.96,,29541.0,109
OH,2.96,26.64,7.07,100.0,2.75,2.55,8.08,96.99,12,0,3126.97,48137.0,29092.0,49
MA,2.54,31.87,15.06,0.0,14.33,9.86,10.93,91.65,0,0,3706.08,22100.0,16797.0,
NJ,2.32,25.66,16.04,100.0,5.18,8.03,9.45,95.69,0,0,2921.92,32332.0,10828.0,
WI,3.02,21.82,9.84,100.0,2.14,2.84,4.41,96.62,0,0,1223.96,60900.0,18885.0,89
MN,3.35,27.33,2.39,97.95,2.63,4.23,6.3,96.5,0,0,2802.7,46027.0,22935.0,163
MA,2.95,29.26,10.2,52.81,4.1,5.55,8.13,95.29,0,0,1318.76,40321.0,,27
WI,2.47,23.99,16.19,0.0,7.18,4.22,9.65,95.9,5,0,5366.7,25976.0,14196.0,27
CT,2.69,24.06,12.07,86.32,3.1,4.45,8.94,95.17,17,3,2893.5,42783.0,40822.0,9
MN,2.38,26.97,16.4,0.0,21.03,8.38,12.26,94.78,0,1,7430.45,17985.0,12353.0,35
PA,2.62,32.09,11.04,100.0,20.93,6.47,14.52,94.31,348,0,6934.07,22210.0,55551.0,71
MA,2.62,24.69,8.92,85.86,1.92,5.21,10.66,95.56,0,0,775.57,51173.0,12066.0,17
PA,2.79,28.18,16.31,73.08,7.54,5.82,5.98,96.16,23,0,2173.15,27154.0,12777.0,21
MA,2.94,23.55,15.63,100.0,3.04,4.52,4.85,97.18,0,0,1377.51,53130.0,25725.0,21
OH,2.84,30.27,5.8,100.0,5.55,5.23,11.14,94.83,0,0,5998.63,37050.0,18609.0,61
MN,2.81,47.38,9.28,0.0,25.16,5.3,6.31,95.99,82,3,6946.59,22476.0,31468.0,13
VA,2.66,31.25,8.59,100.0,14.04,5.93,12.83,91.72,96,39,5590.56,27469.0,,700
NJ,2.77,22.35,14.01,100.0,2.51,2.57,6.24,97.23,0,0,2381.26,54469.0,,39
MI,2.92,30.43,6.85,100.0,12.94,9.6,14.65,95.39,97,2,8234.94,31723.0,22897.0,163
NJ,3.0,24.16,7.98,77.01,2.3,4.36,6.45,96.23,0,0,1975.16,59834.0,20526.0,5
WI,3.05,60.14,7.42,0.0,32.74,4.36,4.28,95.53,14,0,2590.9,19635.0,10170.0,127
NJ,2.7,20.64,15.09,100.0,1.94,2.25,5.1,97.2,9,0,3601.46,83275.0,18630.0,13
RI,2.55,24.16,15.12,100.0,4.84,5.44,9.37,95.15,0,0,4252.66,35786.0,85427.0,
MA,2.98,25.95,6.43,0.0,3.98,5.47,8.09,96.58,0,0,1719.69,44492.0,10098.0,17
NJ,2.92,25.63,8.2,100.0,2.27,3.86,5.9,96.92,7,0,3321.36,58769.0,43548.0,23
WI,2.55,25.94,13.44,100.0,5.01,4.6,9.67,97.54,0,0,4217.19,31998.0,20958.0,79
CT,2.64,21.94,10.62,70.81,2.35,2.84,7.7,96.39,0,0,1908.07,57464.0,27901.0,3
WI,2.47,38.0,8.17,100.0,16.05,3.52,9.32,96.64,209,5,5118.88,29420.0,191262.0,25
MI,2.57,26.11,13.48,100.0,8.53,7.78,11.67,96.98,0,0,5030.12,30638.0,41832.0,163
NH,2.57,28.8,10.4,100.0,6.75,5.32,12.04,92.69,17,0,3071.31,,11249.0,
MI,2.91,54.0,6.14,100.0,29.47,7.5,8.85,91.74,74,0,5906.14,,24846.0,161
MA,2.84,25.77,14.6,100.0,4.1,6.7,6.81,97.74,0,2,3534.64,44734.0,33836.0,21
OH,2.56,20.98,16.77,0.0,7.46,6.74,9.89,95.74,0,0,3523.75,27688.0,11329.0,157
NJ,2.81,28.63,10.89,100.0,16.12,9.91,11.56,94.64,61,43,7568.62,27631.0,110002.0,39
MN,3.43,29.87,1.91,100.0,2.04,4.97,6.57,98.53,0,0,2833.17,46101.0,12408.0,3
NJ,3.21,31.29,8.77,100.0,18.54,11.04,12.67,95.25,252,94,6672.33,26960.0,140891.0,31
NJ,2.37,25.34,14.29,100.0,6.25,3.44,13.27,86.68,0,0,2839.83,31793.0,11216.0,1
MI,2.65,40.65,5.61,100.0,7.38,4.18,12.46,91.29,0,0,5224.08,34825.0,17076.0,125
WI,2.77,27.32,6.8,100.0,2.3,2.6,8.09,96.69,0,0,2573.19,43486.0,,131
SD,2.43,25.73,15.79,0.0,14.51,4.67,8.36,93.68,0,0,4195.95,20146.0,13798.0,35
MN,3.1,26.78,2.29,100.0,3.49,3.49,7.6,96.59,0,0,3072.56,49981.0,34598.0,37
NJ,2.63,22.63,15.9,100.0,2.51,4.58,6.5,96.74,0,0,3140.65,44672.0,11488.0,3
WI,2.75,26.42,12.1,100.0,7.67,5.09,7.47,98.0,0,0,2657,30743.0,11982.0,87
MA,2.62,29.31,9.73,100.0,5.65,6.16,10.15,93.28,66,0,1736.45,41315.0,31813.0,17
NJ,2.72,25.11,11.76,85.47,6.77,4.46,10.28,95.81,0,0,2217.57,,10266.0,5
VA,2.98,49.78,9.14,0.0,21.46,4.6,8.14,94.59,2,0,4264.75,25312.0,30707.0,660
CT,2.95,21.68,14.1,100.0,1.98,4.41,4.67,97.73,0,0,4335.25,60634.0,32016.0,1
SD,2.5,25.74,14.54,0.0,13.44,5.53,8.07,92.29,0,0,4015.12,20606.0,17592.0,29
MI,2.77,38.15,10.49,0.0,16.57,7.2,9.99,96.67,26,0,3293.16,24365.0,21977.0,103
OH,2.95,25.42,7.0,82.6,4.3,3.02,8.12,96.49,0,0,2996.93,42530.0,28199.0,25
